DateTime,SNR,Uniformity,Contrast,Ghosting,D45,D135,Output,LaserX,LaserY,LaserZ,Operator
20160704.145543,1.623,96.174,0.798,0.0104,91.092,91.115,5.792,103.816,0,101.639,Therapist
20160705.081645,1.611,97.686,0.791,0.0233,91.067,91.209,6.13,104.829,0,101.411,RR
20160706.084543,1.514,96.858,0.794,0.0271,91.236,91.19,5.911,102.484,0,102.003,Therapist
20160707.082523,1.622,96.983,0.795,0.003,91.311,91.343,5.972,103.228,0,101.737,RR
20160708.081527,1.506,99.122,0.765,0.0175,91.295,91.292,6.21,102.17,0,101.818,Therapist
20160711.090322,1.547,98.595,0.792,0.0063,91.141,91.138,5.758,106.462,4,100.275,DE
20160712.085354,1.598,96.913,0.792,0.0174,91.081,91.166,6.002,104.16,4,100.414,RR
20160713.084533,1.504,97.865,0.795,0.0266,91.19,91.182,5.82,104.999,4,100.239,DE
20160714.084548,1.659,99.011,0.795,0.0092,91.26,91.1,5.92,104.082,0,99.418,Therapist
20160715.085649,1.487,97.277,0.795,0.0028,91.002,91.059,5.952,104.71,4,99.56,RR
20160718.083240,1.683,96.682,0.792,0.0192,91.322,91.271,6.028,104.254,4,97.625,DE
20160719.091315,1.549,97.033,0.796,0.0008,91.089,91.096,5.85,102.109,4,97.052,RR
20160719.130513,0.901,72.841,0.654,0.2867,0,0,5.082,100,4,100,Therapist
20160719.165828,1.845,96.318,0.803,0.0158,91.075,91.132,5.835,101.709,4,99.215,Therapist
20160720.085052,1.805,97.025,0.795,0.0068,91.112,91.014,6.196,102.772,4,98.097,Therapist
20160721.085527,1.893,96.015,0.788,0.0066,90.957,91.249,6.299,103.329,4,97.512,Therapist
20160722.081025,1.753,98.754,0.8,0.0074,91.082,91.14,5.864,103.329,0,97.512,RR
20160725.090830,2.406,94.396,0.762,0.0047,91.028,90.976,6.196,103.329,0,97.512,DE
20160726.090632,1.781,98.298,0.792,0.0021,91.09,91.022,6.215,103.329,4,97.512,RR
20160727.084259,1.716,98.51,0.798,0.0079,91.064,90.991,6.16,103.329,4,97.512,DE
20160728.083937,1.727,98.761,0.798,0.0059,90.996,91.043,5.881,103.329,0,97.512,RR
20160729.083131,1.779,96.972,0.798,0.0132,91.106,91.112,5.9,103.329,4,97.512,RR
20160801.081922,1.741,98.168,0.8,0.0066,91.119,91.186,5.866,103.329,4,97.512,DE
20160802.084954,2.258,89.137,0.767,0.0124,91.063,91.079,6.347,103.329,0,97.512,RR
20160803.095606,1.934,98.665,0.796,0.0044,91.088,91.08,6.256,103.329,4,97.512,DE
20160804.084845,1.936,94.384,0.785,0.0097,90.934,91.036,6.586,103.329,4,97.512,DE
20160805.081436,1.937,97.423,0.792,0.0029,91.102,91.117,6.559,103.329,4,97.512,Therapist
20160808.085854,1.659,97.181,0.795,0.0008,91.093,91.112,5.764,103.329,0,97.512,DE
20160810.090624,1.69,97.16,0.799,0.0172,91.091,91.238,5.888,103.329,4,97.512,Therapist
20160811.082536,1.675,97.671,0.794,0.0004,91.112,91.191,5.834,103.329,0,97.512,Therapist
20160815.084753,1.693,96.355,0.794,0.0008,90.998,91.001,5.793,103.329,0,97.512,Therapist
20160816.093938,1.708,97.472,0.796,0.0036,91.102,91.157,5.794,103.329,0,97.512,Therapist
20160817.082607,1.878,97.536,0.799,0.0048,90.991,91.288,5.777,103.329,0,97.512,DE
20160818.090218,1.713,97.496,0.788,0.0089,91.185,91.301,5.983,103.329,0,97.512,DE
20160822.083944,1.618,97.209,0.791,0.0092,91.022,91.078,5.902,103.329,0,97.512,Therapist
20160823.082219,1.756,98.227,0.791,0.025,91.111,91.029,5.815,103.329,0,97.512,RR
20160825.085213,1.867,96.348,0.793,0.0145,91.163,91.05,5.727,103.329,0,97.512,Therapist
20160826.083641,1.731,98.319,0.795,0.0054,90.953,91.084,5.873,103.329,0,97.512,RR
20160829.085555,1.773,97.313,0.794,0.0089,91.23,91.138,5.664,103.329,0,97.512,Therapist
20160831.090320,1.742,98.682,0.794,0.0246,90.996,91.24,6.018,103.329,0,97.512,Therapist
20160901.083202,1.809,99.39,0.795,0.0086,91.008,91.173,5.867,103.329,0,97.512,Therapist
20160902.082824,1.833,96.166,0.778,0.0117,90.942,91.242,6.025,103.329,0,97.512,Therapist
20160905.083936,1.643,98.427,0.788,0.0097,91.052,91.133,5.786,101.954,0,97.527,Therapist
20160907.083451,1.648,98.71,0.778,0.0127,91.085,90.993,5.81,102.965,0,95.895,Therapist
20160908.083548,1.772,96.771,0.785,0.0042,90.998,91.142,5.972,103.329,0,97.512,Therapist
20160909.084725,1.64,98.095,0.783,0.004,91.21,91.086,6.064,103.329,0,97.512,Therapist
20160912.100735,1.66,95.064,0.785,0.0052,91.194,91.109,5.916,103.329,0,97.512,Therapist
20160913.085033,1.732,97.831,0.783,0.0092,90.989,91.012,6.012,101.954,0,97.527,Therapist
20160914.090827,1.682,97.79,0.765,0.0015,91.121,91.185,5.823,103.329,0,97.512,RR
20160915.085323,1.951,96.312,0.77,0.0225,91.661,91.265,5.769,103.329,0,97.512,DE
20160916.081752,1.985,97.483,0.769,0.0022,91.842,91.217,5.802,101.954,0,97.527,Therapist
20160919.084605,1.871,98.945,0.777,0.0161,91.822,91.199,5.755,102.965,0,95.895,Therapist
20160920.071851,1.72,97.798,0.761,0.0112,91.69,91.147,5.952,103.329,0,97.512,Therapist
20160921.091025,1.736,97.254,0.771,0.0222,91.703,91.213,5.899,103.329,0,97.512,Therapist
20160922.085630,1.743,97.91,0.765,0.0038,91.58,91.326,5.859,103.329,0,97.512,Therapist
20160923.083452,1.751,98.217,0.767,0.0233,91.764,91.124,5.832,103.329,0,97.512,Therapist
20160926.083249,1.806,98.304,0.787,0.0177,91.17,91.861,5.797,103.329,0,97.512,Therapist
20160927.085943,1.817,98.152,0.769,0.0139,91.241,91.68,5.816,103.329,0,97.512,RR
20160928.091929,1.685,97.294,0.768,0.0079,91.759,91.318,5.891,103.329,4,97.512,Therapist
20160929.083849,1.875,97.61,0.798,0.0189,91.073,91.59,5.882,103.329,0,97.512,Therapist
20160930.090756,1.862,97.753,0.792,0.0187,91.189,91.554,5.926,103.329,0,97.512,Therapist
20161004.093404,1.767,97.859,0.788,0.0044,91.217,91.597,5.854,103.329,0,97.512,Therapist
20161005.092639,1.658,98.042,0.763,0.0051,91.684,91.207,5.831,103.329,4,97.512,Therapist
20161006.083108,1.772,98.816,0.763,0.0278,91.889,91.375,5.811,103.329,0,97.512,Therapist
20161007.082821,1.766,99.133,0.764,0.0106,91.754,91.263,5.875,103.329,0,97.512,Therapist
20161010.083846,1.643,97.832,0.756,0.0255,64.799,64.678,5.912,103.329,0,97.512,Therapist
20161011.090410,1.728,98.012,0.768,0.0005,91.585,91.303,5.838,103.329,0,97.512,Therapist
20161115.085308,1.812,97.451,0.794,0.0049,91.748,92.51,5.86,103.329,-200,97.512,Therapist
20161115.085308,1.812,97.451,0.794,0.0049,91.748,92.51,5.86,103.329,0,97.512,Therapist
20161115.085308,1.821,98.454,0.794,0.01,91.838,92.439,6.108,103.614,12,96.671,Therapist
20170508.074210,1.891,97.1,0.917,0.01,91.327,91.885,5.86,103.329,-200,97.512,Therapist
20180514.084827,1.7,99.396,0.797,0.0005,91.607,91.468,5.844,102.257,4,96.794,Therapist
20180518.082655,1.708,97.488,0.793,0.01,91.424,91.625,5.921,103.615,4,97.63,Therapist
20180522.085423,1.757,97.817,0.793,0.0133,91.507,91.624,5.86,103.329,4,97.512,Therapist
20180523.091202,1.792,98.142,0.793,0.01,91.54,91.569,5.791,101.954,4,97.527,Therapist
20180524.090951,1.668,98.312,0.796,0.012,91.533,91.33,5.84,102.965,0,95.895,Therapist
20180723.084309,1.702,98.205,0.786,0.0048,91.485,91.728,5.903,101.954,0,97.527,Therapist
20190218.093528,1.705,96.16,0.791,0.01,91.669,91.584,5.86,102.965,4,95.895,Therapist
20190219.090745,1.83,95.575,0.788,0.0101,91.501,91.502,5.86,102.257,4,96.794,Therapist
20190220.083420,1.735,96.622,0.79,0.01,91.484,91.519,5.86,101.954,4,97.527,Therapist
20190220.083420,1.735,96.622,0.79,0.01,91.484,91.519,5.86,101.954,254,97.527,Therapist
20190220.083420,1.735,96.622,0.79,0.01,91.484,91.519,5.86,103.329,254,97.512,Therapist
20190220.083420,1.735,96.622,0.79,0.01,91.484,91.519,5.86,103.615,4,97.63,Therapist
20190520.090154,1.785,96.63,0.789,0.0067,91.616,91.639,5.86,102.257,4,96.794,Therapist
20190520.090154,1.785,96.63,0.789,0.0067,91.616,91.639,5.86,102.965,4,95.895,Therapist
20190520.090154,1.785,96.63,0.789,0.0067,91.616,91.639,5.86,103.329,4,97.512,Therapist
20190520.090154,1.785,96.63,0.789,0.0067,91.616,91.639,5.86,103.615,4,97.63,Therapist
20190520.090154,1.891,97.1,0.924,0.01,91.594,91.644,5.86,101.954,4,97.527,Therapist
20190530.115056,1.721,98.194,0.791,0.0193,91.749,91.506,5.86,102.965,4,95.895,Therapist
20190530.122832,1.734,97.9,0.788,0.0122,91.655,91.523,5.86,103.329,4,97.512,Therapist
20190530.123334,1.655,97.906,0.793,0.0147,91.501,91.663,5.86,101.954,4,97.527,Therapist
20190530.130340,1.68,97.552,0.792,0.0008,91.485,91.624,5.86,102.257,4,96.794,Therapist
20190530.130340,1.82,97.51,0.849,0.01,91.552,91.612,5.86,103.615,4,97.63,Therapist
20190604.102223,1.668,95.627,0.788,0.01,91.71,91.609,5.86,102.257,-200,96.794,Therapist
20190604.102223,1.668,95.627,0.788,0.01,91.71,91.609,5.86,103.615,-200,97.63,Therapist
20190604.102223,1.71,96.488,0.788,0.0043,91.674,91.66,5.86,101.954,-200,97.527,Therapist
20190604.102223,1.71,96.488,0.788,0.0043,91.674,91.66,5.86,103.329,-200,97.512,Therapist
20190604.102223,1.743,98.266,0.785,0.0149,91.641,91.686,5.86,102.015,-200,97.641,Therapist
20190604.102223,1.743,98.266,0.785,0.0149,91.641,91.686,5.86,103.301,-200,95.984,Therapist
20190604.102223,1.743,98.266,0.785,0.0149,91.641,91.686,5.86,103.614,-200,96.671,Therapist
20190604.102223,1.79,97.291,0.786,0.01,91.661,91.702,5.86,102.544,-200,97.531,Therapist
20190604.102223,1.849,97.19,0.79,0.01,91.656,91.637,5.86,102.965,-200,95.895,Therapist
20190604.102223,1.895,97.881,0.845,0.01,91.698,91.713,5.86,103.284,-200,97.619,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,101.954,30,97.527,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,102.965,0,95.895,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,103.301,0,95.984,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,103.329,-20,97.512,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,103.329,0,97.512,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,103.615,0,97.63,Therapist
20200203.082600,1.774,97.242,0.803,0.0093,91.366,91.763,5.696,103.615,180,97.63,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,101.954,0,97.527,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,102.015,0,97.641,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,102.015,200,97.641,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,102.257,0,96.794,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,102.257,20,96.794,Therapist
20200204.084258,1.78,97.85,0.798,0.01,91.11,91.256,5.857,102.544,0,97.531,Therapist
20200205.082437,1.677,96.702,0.799,0.0086,91.315,91.148,5.827,103.284,0,97.619,Therapist
20200206.081130,1.68,95.722,0.801,0.0012,91.361,91.227,5.767,103.011,0,95.771,Therapist
20200207.084308,1.735,97.05,0.805,0.0186,91.507,91.23,5.761,103.398,0,97.568,Therapist
20200210.145936,1.745,97.661,0.799,0.004,91.347,91.209,5.87,103.057,0,97.215,Therapist
20200211.082750,1.657,96.04,0.809,0.0103,91.415,91.219,5.805,103.186,0,96.484,Therapist
20200212.083537,1.69,97.408,0.801,0.0009,91.245,91.155,5.75,103.011,0,96.042,Therapist
20200213.083123,1.71,98.738,0.797,0.0009,91.235,91.218,5.861,103.112,0,95.764,Therapist
20200214.084512,1.667,97.813,0.805,0.0072,91.247,91.076,5.766,102.254,0,95.792,Therapist
20200217.082330,1.689,98.562,0.8,0.0045,91.14,91.021,5.824,101.894,0,97.347,Therapist
20200218.100933,1.699,96.417,0.799,0.0031,91.243,91.183,5.745,103.09,0,96.334,Therapist
20200219.081309,1.775,98.911,0.796,0.0159,91.087,91.23,5.788,103.6,0,95.769,Therapist
20200220.083918,1.779,96.192,0.802,0.01,91.057,91.168,5.822,102.577,0,96.463,Therapist
20200221.085416,1.713,96.43,0.805,0.01,91.389,91.169,5.899,103.231,0,97.29,Therapist
20200224.082501,1.671,96.912,0.801,0.01,91.122,91.194,5.785,102.074,0,96.68,Therapist
20200225.085201,1.67,99.59,0.803,0.01,91.335,91.164,5.96,102.591,0,96.993,Therapist
20200226.082934,1.677,97.29,0.806,0.01,90.957,91.384,5.821,103.119,0,97.209,Therapist
20200227.082834,1.794,98.777,0.804,0.0076,91.231,91.18,5.838,102.252,0,97.059,Therapist
20200228.084652,1.743,96.952,0.802,0.01,91.186,91.176,5.756,103.01,0,96.025,Therapist
20200302.081334,1.809,99.034,0.802,0.0018,91.095,91.209,5.714,101.938,0,96.697,Therapist
20200907.082040,1.729,98.439,0.788,0.01,91.432,91.242,5.81,103.329,0,97.512,Therapist
20200907.082040,1.729,98.439,0.788,0.01,91.432,91.242,5.81,103.614,0,96.671,Therapist
20231012.083541,1.694,98.589,0.797,0.0057,91.13,91.131,5.86,103.329,250,97.512,Therapist
20231016.081217,1.78,95.778,0.797,0.0025,91.179,91.332,5.936,101.954,250,97.527,Therapist
20231017.080452,1.78,96.382,0.797,0.0063,91.109,91.211,6.223,102.965,250,95.895,Therapist
20231018.080942,1.78,95.873,0.797,0.01,91.192,91.167,6.119,102.257,250,96.794,Therapist
20231019.081129,1.78,96.542,0.797,0.0168,91.281,91.227,5.856,103.615,250,97.63,Therapist
20231023.080639,1.732,96.594,0.797,0.0101,90.911,91.145,5.86,102.015,250,97.641,Therapist
20231025.081536,1.78,97.369,0.797,0.0101,91.431,91.116,6.226,103.614,250,96.671,Therapist
20231026.080432,1.78,97.504,0.797,0.0072,91.119,91.139,5.86,103.301,250,95.984,Therapist
20231030.080549,1.672,97.579,0.797,0.0073,91.087,91.132,6.247,102.544,250,97.531,Therapist
20231101.081142,1.665,94.87,0.797,0.01,91.287,91.243,6.044,103.284,250,97.619,Therapist
20231102.080557,1.78,96.509,0.797,0.0042,91.133,91.09,5.874,103.011,250,95.771,Therapist
20231106.081229,1.78,97.1,0.797,0.008,91.141,91.048,6.22,103.398,250,97.568,Therapist
20231107.075822,1.677,97.1,0.797,0.0152,91.133,91.24,5.971,103.057,250,97.215,Therapist
20231108.080547,1.771,97.143,0.797,0.0121,91.131,91.178,6.178,103.186,250,96.484,Therapist
20231113.082520,1.657,96.678,0.797,0.003,91.076,91.082,5.86,103.011,250,96.042,Therapist
20231114.075943,1.805,97.541,0.797,0.01,91.133,90.988,5.96,103.112,250,95.764,Therapist
20231115.080439,1.639,98.705,0.797,0.01,91.119,91.21,5.86,102.254,250,95.792,Therapist
20231116.082222,1.754,97.592,0.797,0.019,91.259,91.34,6.098,101.894,250,97.347,Therapist
20231120.081836,1.685,95.168,0.797,0.0138,91.142,91.132,6.208,103.09,250,96.334,Therapist
20231122.080818,1.716,96.428,0.797,0.0087,91.18,91.206,6.238,103.6,250,95.769,Therapist
20231123.081254,1.702,95.096,0.797,0.01,91.523,91.301,6.053,102.577,250,96.463,Therapist
20231128.075934,1.781,97.1,0.797,0.0132,91.174,91.284,5.86,103.231,250,97.29,Therapist
20231129.075912,1.724,98.984,0.797,0.0156,91.14,91.344,6.023,102.074,250,96.68,Therapist
20231130.081953,1.735,97.205,0.797,0.0163,91.112,90.98,6.112,102.591,250,96.993,Therapist
20231204.082310,1.641,98.251,0.797,0.0001,91.283,91.177,5.983,103.119,250,97.209,Therapist
20231205.080210,1.78,97.997,0.797,0.0181,91.216,91.157,6.212,102.252,250,97.059,Therapist
20231206.080459,1.7,97.1,0.797,0.0052,91.11,91.173,5.978,103.01,250,96.025,Therapist
20231211.084401,1.689,97.25,0.797,0.0089,91.155,91.222,6.143,101.938,250,96.697,Therapist
20231212.080021,1.78,97.1,0.797,0.0141,91.219,91.059,6.099,103.619,250,96.381,Therapist
20231213.080213,1.674,97.1,0.797,0.0135,91.085,91.11,6.087,102.871,250,96.148,Therapist
20231214.081948,1.78,96.596,0.797,0.01,91.832,91.393,5.86,103.203,250,96.21,Therapist
20231218.082814,1.78,98.208,0.797,0.0072,91.714,91.465,5.86,102.712,250,97.098,Therapist
20231219.080721,1.78,98.252,0.797,0.0091,91.492,91.534,5.86,103.482,250,97.619,Therapist
20231220.080304,1.78,95.578,0.797,0.0034,91.282,92.211,5.86,102.794,250,95.977,Therapist
20231221.083222,1.78,97.1,0.797,0.0016,92.164,92.232,5.86,101.999,250,96.215,Therapist
20231227.080138,1.78,97.739,0.797,0.0128,92.176,91.548,5.86,103.381,250,96.209,Therapist
20231228.080934,1.81,97.434,0.797,0.01,91.8,91.548,5.86,103.329,250,96.187,Therapist
20240102.075415,1.701,95.789,0.797,0.0032,92.1,91.749,5.86,103.559,250,96.4,Therapist
20240103.080132,1.78,98.741,0.797,0.0023,92.103,91.687,5.86,102.093,250,96.202,Therapist
20240104.081142,1.78,97.1,0.797,0.0038,92.099,91.522,5.86,102.932,250,96.647,Therapist
20240108.080958,1.675,98.329,0.797,0.0179,91.358,92.115,5.86,102.403,250,97.362,Therapist
20240109.075829,1.664,96.338,0.797,0,91.446,91.871,5.86,102.871,250,96.799,Therapist
20240110.075930,1.78,97.625,0.797,0.0081,91.456,91.879,5.86,103.534,250,96.272,Therapist
20240115.083419,1.703,95.391,0.797,0.0023,92.052,91.383,5.86,103.214,250,97.207,Therapist
20240116.075842,1.78,97.789,0.797,0.0116,91.933,91.832,5.86,102.461,250,96.836,Therapist
20240117.075850,1.764,97.1,0.797,0.0018,91.621,92.117,5.86,101.852,250,95.808,Therapist
20240118.082228,1.759,95,0.797,0.0161,91.838,91.352,5.86,102.762,250,97.258,Therapist
20240119.080045,1.65,96.057,0.797,0.0078,91.463,92.033,5.86,103.568,254,95.96,Therapist
20240122.081836,1.663,98.074,0.797,0.0199,91.506,91.164,5.86,102.838,254,96.639,Therapist
20240124.080927,1.78,96.037,0.797,0.0041,91.429,91.516,5.86,101.724,254,96.374,Therapist
20240125.080913,1.657,96.128,0.797,0.01,91.697,91.179,5.86,102.024,254,97.289,Therapist
20240129.083748,1.78,95.16,0.797,0.0027,91.852,91.512,5.86,102.322,254,96.757,Therapist
20240130.080718,1.78,95.524,0.797,0.0171,91.684,91.363,5.86,102.031,254,96.904,Therapist
20240131.080525,1.78,96.675,0.797,0.0087,91.225,90.991,5.86,102.226,254,97.008,Therapist
20240201.084207,1.78,98.69,0.797,0.0148,91.695,91.061,5.86,103.078,254,97.196,Therapist
20240202.080626,1.78,97.193,0.797,0.0045,91.736,91.73,5.86,102.257,0,96.794,Therapist
20240202.080626,1.78,97.193,0.797,0.0045,91.736,91.73,5.86,102.601,254,95.868,Therapist
20240202.080626,1.78,97.193,0.797,0.0045,91.736,91.73,5.86,103.615,0,97.63,Therapist
20240205.080710,1.769,98.361,0.797,0.01,91.271,91.794,6.199,102.015,0,97.641,Therapist
20240205.080710,1.769,98.361,0.797,0.01,91.271,91.794,6.199,102.965,0,95.895,Therapist
20240205.080710,1.769,98.361,0.797,0.01,91.271,91.794,6.199,103.329,0,97.512,Therapist
20240205.080710,1.78,95.659,0.797,0.0128,91.295,91.642,5.86,101.954,0,97.527,Therapist
20240205.080710,1.78,95.659,0.797,0.0128,91.295,91.642,5.86,102.005,254,97.352,Therapist
20240205.080710,1.78,95.659,0.797,0.0128,91.295,91.642,5.86,102.158,254,97.527,Therapist
20240205.080710,1.78,95.659,0.797,0.0128,91.295,91.642,5.86,103.329,0,97.512,Therapist
20240205.080710,1.78,95.659,0.797,0.0128,91.295,91.642,5.86,103.329,254,97.512,Therapist
